battery,temp_c,soc_label_v,current_a,pulse_index,v_pre_v,v_min_v,v_0p05_v,v_0p10_v,r0_ohm_pack,rdc_ohm_pack,r1_ohm_pack,soc_est
202502130047,40.0,32,30,3,30.74000,27.98000,29.39062,28.79365,0.054929,0.092000,0.037071,0.510000
202502130047,40.0,32,20,1,30.50000,29.04000,29.62043,29.51660,0.046574,0.073000,0.026426,0.467143
202502130047,40.0,32,20,2,30.66000,29.00000,29.63583,29.47733,0.055171,0.083000,0.027829,0.496667
202502130047,40.0,32,20,3,30.90000,28.98000,29.76894,29.45719,0.064347,0.096000,0.031653,0.536667
202502130047,40.0,32,10,1,30.98000,29.94000,30.34667,30.17000,0.072167,0.104000,0.031833,0.550000
202502130047,40.0,32,10,2,30.90000,29.91000,30.32969,30.13936,0.066548,0.099000,0.032452,0.536667
202502130047,40.0,32,10,3,30.73000,29.90000,30.24639,30.12304,0.054528,0.083000,0.028472,0.508333
202502130047,40.0,35,30,1,32.37000,31.57000,32.34727,32.32455,0.001136,0.026667,0.025530,0.725000
202502130047,40.0,35,30,2,32.36000,31.58000,32.33727,32.31455,0.001136,0.026000,0.024864,0.724000
202502130047,40.0,35,30,3,32.37000,31.58000,32.34706,32.32413,0.001147,0.026333,0.025187,0.725000
202502130047,40.0,35,20,1,33.09000,32.60000,33.07585,33.06170,0.001061,0.024500,0.023439,0.809000
202502130047,40.0,35,20,2,33.04000,32.55000,33.03057,33.02113,0.000708,0.024500,0.023792,0.803750
202502130047,40.0,35,20,3,33.00000,32.50000,32.98611,32.97222,0.001042,0.025000,0.023958,0.798750
202502130047,40.0,35,10,1,33.66000,33.42000,33.65541,33.65083,0.000688,0.024000,0.023312,0.875000
202502130047,40.0,35,10,2,33.63000,33.38000,33.62537,33.62074,0.000694,0.025000,0.024306,0.872000
202502130047,40.0,35,10,3,33.59000,33.35000,33.59000,33.59000,0.000000,0.024000,0.024000,0.867500
202502130054,10.0,30,30,1,29.79000,23.46000,26.15809,24.70426,0.145294,0.211000,0.065706,0.296667
202502130054,10.0,30,30,2,27.82000,23.94000,25.73935,25.04174,0.080982,0.129333,0.048352,0.030600
202502130054,10.0,30,30,3,29.48000,24.34000,26.68113,25.59242,0.111441,0.171333,0.059892,0.195000
202502130054,10.0,30,20,1,30.09000,26.29000,27.65913,27.00167,0.137980,0.190000,0.052020,0.378000
202502130054,10.0,30,20,2,28.53000,26.38000,27.17625,27.00304,0.072018,0.107500,0.035482,0.047353
202502130054,10.0,30,20,3,29.31000,26.48000,27.42333,27.14556,0.101278,0.141500,0.040222,0.152500
202502130054,10.0,30,10,1,30.42000,28.28000,28.99522,28.63125,0.160677,0.214000,0.053323,0.451667
202502130054,10.0,30,10,2,29.76000,28.27000,28.70311,28.58836,0.111426,0.149000,0.037574,0.288333
202502130054,10.0,30,10,3,29.20000,28.25000,28.62702,28.55754,0.060772,0.095000,0.034228,0.126667
202502130054,10.0,32,30,1,31.90000,25.73000,29.42717,27.31145,0.117690,0.205667,0.087977,0.663000
202502130054,10.0,32,30,2,29.35000,25.89000,28.07826,26.99982,0.060365,0.115333,0.054968,0.161000
202502130054,10.0,32,30,3,31.60000,26.06000,29.44896,27.45436,0.104945,0.184667,0.079722,0.635714
202502130054,10.0,32,20,1,31.11000,27.79000,29.72579,28.47500,0.100480,0.166000,0.065520,0.570000
202502130054,10.0,32,20,2,28.53000,27.81000,28.45391,28.38712,0.005474,0.036000,0.030526,0.047353
202502130054,10.0,32,20,3,30.44000,27.84000,29.36935,28.46418,0.076162,0.130000,0.053838,0.455000
202502130054,10.0,32,10,1,29.79000,29.45000,29.76685,29.74370,0.003472,0.034000,0.030528,0.296667
202502130054,10.0,32,10,2,31.34000,29.43000,30.60606,29.87211,0.110092,0.191000,0.080908,0.606429
202502130054,10.0,32,10,3,30.21000,29.40000,29.94711,29.69917,0.038686,0.081000,0.042314,0.407500
202502130054,10.0,35,30,1,28.48000,27.23000,28.40273,28.32545,0.003864,0.041667,0.037803,0.045882
202502130054,10.0,35,30,2,28.86000,27.62000,28.79182,28.72364,0.003409,0.041333,0.037924,0.060000
202502130054,10.0,35,30,3,29.17000,28.01000,29.11037,29.05073,0.002982,0.038667,0.035685,0.115000
202502130054,10.0,35,20,1,30.65000,29.94000,30.61789,30.58578,0.002408,0.035500,0.033092,0.495000
202502130054,10.0,35,20,2,30.69000,29.98000,30.65818,30.62636,0.002386,0.035500,0.033114,0.501667
202502130054,10.0,35,20,3,30.72000,30.03000,30.69273,30.66545,0.002045,0.034500,0.032455,0.506667
202502130054,10.0,35,10,1,32.09000,31.75000,32.08083,32.07165,0.001376,0.034000,0.032624,0.691250
202502130054,10.0,35,10,2,32.06000,31.71000,32.05065,32.04131,0.001402,0.035000,0.033598,0.687143
202502130054,10.0,35,10,3,32.03000,31.68000,32.02074,32.01148,0.001389,0.035000,0.033611,0.682500
202502130054,20.0,30,30,1,29.96000,25.50000,27.62213,26.52377,0.096235,0.148667,0.052432,0.345000
202502130054,20.0,30,30,2,30.19000,25.68000,28.16619,26.74864,0.091086,0.150333,0.059247,0.402500
202502130054,20.0,30,30,3,29.84000,25.88000,27.67667,26.74688,0.087608,0.132000,0.044392,0.311667
202502130054,20.0,30,20,1,29.98000,27.31000,28.28750,27.83933,0.095829,0.133500,0.037671,0.350000
202502130054,20.0,30,20,2,29.91000,27.34000,28.25417,27.85429,0.092789,0.128500,0.035711,0.332500
202502130054,20.0,30,20,3,28.72000,27.37000,28.03148,27.84609,0.039061,0.067500,0.028439,0.053846
202502130054,20.0,30,10,1,29.62000,28.70000,28.98787,28.93921,0.065646,0.092000,0.026354,0.240000
202502130054,20.0,30,10,2,30.01000,28.69000,29.05790,28.95306,0.100452,0.132000,0.031548,0.358333
202502130054,20.0,30,10,3,29.06000,28.69000,28.92938,28.91891,0.013586,0.037000,0.023414,0.085000
202502130054,20.0,32,30,1,29.83000,25.13000,27.02936,26.25104,0.106327,0.156667,0.050340,0.308333
202502130054,20.0,32,30,2,28.71000,25.49000,26.73905,26.47714,0.070063,0.107333,0.037270,0.053462
202502130054,20.0,32,30,3,30.89000,25.83000,28.40087,26.94267,0.107274,0.168667,0.061392,0.535000
202502130054,20.0,32,20,1,30.63000,27.52000,28.49710,28.17452,0.114710,0.155500,0.040790,0.491667
202502130054,20.0,32,20,2,30.69000,27.59000,28.67378,28.18630,0.112998,0.155000,0.042002,0.501667
202502130054,20.0,32,20,3,30.66000,27.63000,28.72739,28.22067,0.109299,0.151500,0.042201,0.496667
202502130054,20.0,32,10,1,30.18000,29.18000,29.50903,29.46065,0.069516,0.100000,0.030484,0.400000
202502130054,20.0,32,10,2,30.56000,29.17000,29.55234,29.43872,0.106447,0.139000,0.032553,0.478333
202502130054,20.0,32,10,3,30.74000,29.16000,29.57333,29.42844,0.123911,0.158000,0.034089,0.510000
202502130054,20.0,35,30,1,30.54000,29.66000,30.49455,30.44909,0.002273,0.029333,0.027061,0.475000
202502130054,20.0,35,30,2,30.74000,29.86000,30.69794,30.65589,0.002103,0.029333,0.027231,0.510000
202502130054,20.0,35,30,3,30.94000,30.07000,30.90396,30.86793,0.001802,0.029000,0.027198,0.543333
202502130054,20.0,35,20,1,32.14000,31.58000,32.12165,32.10330,0.001376,0.028000,0.026624,0.697500
202502130054,20.0,35,20,2,32.15000,31.59000,32.13165,32.11330,0.001376,0.028000,0.026624,0.698750
202502130054,20.0,35,20,3,32.14000,31.58000,32.12198,32.10396,0.001351,0.028000,0.026649,0.697500
202502130054,20.0,35,10,1,33.21000,32.92000,33.20083,33.19165,0.001376,0.029000,0.027624,0.823000
202502130054,20.0,35,10,2,33.17000,32.89000,33.16554,33.16107,0.000670,0.028000,0.027330,0.818750
202502130054,20.0,35,10,3,33.14000,32.86000,33.13545,33.13091,0.000682,0.028000,0.027318,0.815000
202502130054,30.0,30,30,1,28.98000,26.44000,27.42149,27.14375,0.056579,0.084667,0.028087,0.070000
202502130054,30.0,30,30,2,29.00000,26.53000,27.52210,27.22371,0.054237,0.082333,0.028097,0.073333
202502130054,30.0,30,30,3,29.65000,26.63000,28.08443,27.35000,0.064426,0.100667,0.036240,0.250000
